0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:08:28 +0530] "GET /project_frontend/resources/images/109.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:08:41 +0530] "GET /project_frontend/viewproduct1 HTTP/1.1" 200 6871
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:08:41 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:08:41 +0530] "GET /project_frontend/resources/images/1.png HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:08:41 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:06 +0530] "GET /project_frontend/addtocart1?units=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:06 +0530] "GET /project_frontend/getcart HTTP/1.1" 200 6723
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:06 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:06 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:20 +0530] "GET /project_frontend/shippingaddressform2 HTTP/1.1" 200 4920
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:20 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:20 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:26 +0530] "POST /project_frontend/order2 HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:26 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:09:27 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
